File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\main.cxx,40,25,8,1,8,1,7,30,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\config.hxx,143,107,41,0,32,3,4,39,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,2614,2118,862,156,415,10,81,325,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericstyleditemdelegate.cxx,10,6,1,0,4,0,0,0,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericvalidator.cxx,34,26,11,5,7,0,1,5,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,927,782,345,151,127,0,18,59,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelcollection.cxx,190,154,70,24,36,0,0,0,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelutils.cxx,132,110,48,19,22,0,0,0,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.hxx,215,150,109,0,63,1,2,14,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericstyleditemdelegate.hxx,71,45,12,0,22,1,4,23,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericvalidator.hxx,30,19,5,0,11,1,0,1,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.hxx,143,96,45,0,47,1,0,1,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelcollection.hxx,64,40,20,0,24,1,0,1,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelutils.hxx,319,257,88,31,61,1,1,11,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericstyleditemdelegate.txx,153,112,39,4,32,1,9,21,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelutils.txx,87,68,20,6,19,1,0,1,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogrammingutils.cxx,141,63,27,6,23,0,55,182,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\graphicalsolver2d.hxx,51,32,13,0,19,2,0,6,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\isolver.hxx,36,21,7,0,15,1,0,1,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearfunction.hxx,143,74,28,8,35,1,34,175,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogramdata.hxx,68,40,20,0,24,1,4,13,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogrammingutils.hxx,106,74,28,1,31,1,1,12,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogramsolution.hxx,58,36,15,0,19,1,3,8,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\optimizationgoaltype.hxx,22,12,3,0,6,1,4,12,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\plotdata2d.hxx,76,52,19,0,24,2,0,6,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolver.hxx,106,70,33,0,36,1,0,1,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolvercontroller.hxx,281,221,102,23,60,2,0,3,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolvercontroller_fwd.hxx,15,9,2,0,6,1,0,1,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolver_fwd.hxx,15,9,2,0,6,1,0,1,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.hxx,135,75,40,0,40,1,20,69,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau_fwd.hxx,15,9,2,0,6,1,0,1,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\solutionphase.hxx,21,12,3,0,6,1,3,8,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\solutiontype.hxx,24,15,3,0,6,1,3,8,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\graphicalsolver2d.txx,500,337,150,35,97,6,66,471,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\isolver.txx,19,11,2,0,8,1,0,1,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogramdata.txx,137,109,29,8,28,1,0,1,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogrammingutils.txx,385,230,104,26,52,4,103,701,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogramsolution.txx,90,65,17,4,25,1,0,1,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\plotdata2d.txx,74,60,8,0,14,3,0,7,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolver.txx,795,497,195,70,112,17,186,1011,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,603,312,119,42,87,3,204,1040,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.hxx,157,119,34,8,37,2,1,16,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\numericlimits.hxx,52,33,8,2,16,1,3,24,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\numerictypes.hxx,79,31,16,0,19,3,29,71,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.txx,382,218,83,29,55,10,109,482,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\numericlimits.txx,72,50,17,6,22,7,0,7,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\boostqtinterop.cxx,39,26,10,2,13,1,0,1,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\ijsonserializable.cxx,6,3,1,0,3,0,0,0,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\utils.cxx,122,96,37,4,15,0,11,83,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\boostextensions.hxx,118,15,1,0,26,2,77,146,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\boostqtinterop.hxx,23,13,3,0,10,2,0,2,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.hxx,50,31,8,2,17,1,2,13,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\eigenextensions.hxx,101,70,23,4,24,3,7,38,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\ijsonserializable.hxx,25,14,5,0,11,1,0,1,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\utils.hxx,188,102,36,3,38,2,48,131,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.txx,331,258,106,30,69,5,4,49,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\test\test.cxx,274,200,93,10,51,0,23,79,0,0
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\test\test.hxx,42,28,9,0,14,1,0,1,0,0
