File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\main.cxx,"main(int argc, char** argv)",16,13,8,1,3,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::MainWindow(QWidget* parent),21,14,14,0,7,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::~MainWindow(),7,5,5,0,2,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::closeEvent(QCloseEvent* ev),49,42,17,7,6,0,1,9,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::dragEnterEvent(QDragEnterEvent* ev),9,9,5,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::dragMoveEvent(QDragMoveEvent* ev),9,9,5,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::dragLeaveEvent(QDragLeaveEvent* ev),2,2,2,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::dropEvent(QDropEvent* ev),36,35,18,4,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::setupDefaults(),24,16,16,0,8,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::setupSignals(),51,46,8,1,5,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::setupProgramView(),40,35,17,1,5,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::clearProgramView(),5,5,3,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::destroyProgramView(),7,7,5,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::setupGraphicalSolutionView(QCustomPlot* const customPlot),77,55,28,0,18,0,4,13,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::enableGraphicalSolutionView(bool enabled),11,10,6,1,1,0,0,0,
